25.Q2.5			
			
Event/Message Name	Enum	Logical Value	Literal Value
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_DCCH_MESSAGE	4
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_36_331_PCCH_MESSAGE	5
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_CCCH_MESSAGE	6
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_DCCH_MESSAGE	7
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_BCH_MESSAGE	8
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_DL_SCH_MESSAGE	9
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_CCCH_MESSAGE	10
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_DCCH_MESSAGE	11
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_38_331_PCCH_MESSAGE	12
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_CCCH_MESSAGE	13
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_DCCH_MESSAGE	14
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_S1AP_36_413	15
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_X2AP_36_423	16
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_NGAP_38_413	17
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_XNAP_38_423	18
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_F1AP_38_473	19
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_E1AP_38_463	20
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_NGAP_38_413_SESSION_TRACKING_INFO_EXTENSION	21
CuCpF1DeactivateTrace	ProtocolName	PROTOCOL_NAME_NO_LICENSE	255
CuCpF1GnbCuConfigurationUpdate	MsgDirection	MSG_DIRECTION_NO_VALUE	0
CuCpF1GnbCuConfigurationUpdate	MsgDirection	MSG_DIRECTION_SEND	1
CuCpF1GnbCuConfigurationUpdate	MsgDirection	MSG_DIRECTION_RECEIVE	2
CuCpF1GnbCuConfigurationUpdate	MsgDirection	MSG_DIRECTION_NO_LICENSE	255
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_NO_VALUE	0
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_BCH_MESSAGE	1
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_DL_SCH_MESSAGE	2
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_CCCH_MESSAGE	3
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_DCCH_MESSAGE	4
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_PCCH_MESSAGE	5
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_CCCH_MESSAGE	6
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_DCCH_MESSAGE	7
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_BCH_MESSAGE	8
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_DL_SCH_MESSAGE	9
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_CCCH_MESSAGE	10
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_DCCH_MESSAGE	11
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_PCCH_MESSAGE	12
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_CCCH_MESSAGE	13
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_DCCH_MESSAGE	14
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_S1AP_36_413	15
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_X2AP_36_423	16
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_NGAP_38_413	17
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_XNAP_38_423	18
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_F1AP_38_473	19
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_E1AP_38_463	20
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_NGAP_38_413_SESSION_TRACKING_INFO_EXTENSION	21
CuCpF1GnbCuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_NO_LICENSE	255
CuCpF1GnbCuConfigurationUpdateAcknowledge	MsgDirection	MSG_DIRECTION_NO_VALUE	0
CuCpF1GnbCuConfigurationUpdateAcknowledge	MsgDirection	MSG_DIRECTION_SEND	1
CuCpF1GnbCuConfigurationUpdateAcknowledge	MsgDirection	MSG_DIRECTION_RECEIVE	2
CuCpF1GnbCuConfigurationUpdateAcknowledge	MsgDirection	MSG_DIRECTION_NO_LICENSE	255
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_NO_VALUE	0
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_BCH_MESSAGE	1
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_DL_SCH_MESSAGE	2
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_CCCH_MESSAGE	3
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_DCCH_MESSAGE	4
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_PCCH_MESSAGE	5
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_CCCH_MESSAGE	6
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_DCCH_MESSAGE	7
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_BCH_MESSAGE	8
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_DL_SCH_MESSAGE	9
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_CCCH_MESSAGE	10
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_DCCH_MESSAGE	11
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_PCCH_MESSAGE	12
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_CCCH_MESSAGE	13
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_DCCH_MESSAGE	14
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_S1AP_36_413	15
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_X2AP_36_423	16
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_NGAP_38_413	17
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_XNAP_38_423	18
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_F1AP_38_473	19
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_E1AP_38_463	20
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_NGAP_38_413_SESSION_TRACKING_INFO_EXTENSION	21
CuCpF1GnbCuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_NO_LICENSE	255
CuCpF1GnbCuConfigurationUpdateFailure	MsgDirection	MSG_DIRECTION_NO_VALUE	0
CuCpF1GnbCuConfigurationUpdateFailure	MsgDirection	MSG_DIRECTION_SEND	1
CuCpF1GnbCuConfigurationUpdateFailure	MsgDirection	MSG_DIRECTION_RECEIVE	2
CuCpF1GnbCuConfigurationUpdateFailure	MsgDirection	MSG_DIRECTION_NO_LICENSE	255
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_NO_VALUE	0
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_BCH_MESSAGE	1
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_DL_SCH_MESSAGE	2
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_CCCH_MESSAGE	3
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_DCCH_MESSAGE	4
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_PCCH_MESSAGE	5
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_CCCH_MESSAGE	6
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_DCCH_MESSAGE	7
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_BCH_MESSAGE	8
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_DL_SCH_MESSAGE	9
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_CCCH_MESSAGE	10
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_DCCH_MESSAGE	11
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_PCCH_MESSAGE	12
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_CCCH_MESSAGE	13
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_DCCH_MESSAGE	14
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_S1AP_36_413	15
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_X2AP_36_423	16
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_NGAP_38_413	17
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_XNAP_38_423	18
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_F1AP_38_473	19
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_E1AP_38_463	20
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_NGAP_38_413_SESSION_TRACKING_INFO_EXTENSION	21
CuCpF1GnbCuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_NO_LICENSE	255
CuCpF1GnbDuConfigurationUpdate	MsgDirection	MSG_DIRECTION_NO_VALUE	0
CuCpF1GnbDuConfigurationUpdate	MsgDirection	MSG_DIRECTION_SEND	1
CuCpF1GnbDuConfigurationUpdate	MsgDirection	MSG_DIRECTION_RECEIVE	2
CuCpF1GnbDuConfigurationUpdate	MsgDirection	MSG_DIRECTION_NO_LICENSE	255
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_NO_VALUE	0
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_BCH_MESSAGE	1
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_DL_SCH_MESSAGE	2
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_CCCH_MESSAGE	3
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_DCCH_MESSAGE	4
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_PCCH_MESSAGE	5
