25.Q2.5			
			
Event/Message Name	Enum	Logical Value	Literal Value
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_CCCH_MESSAGE	6
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_DCCH_MESSAGE	7
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_BCH_MESSAGE	8
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_DL_SCH_MESSAGE	9
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_CCCH_MESSAGE	10
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_DCCH_MESSAGE	11
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_PCCH_MESSAGE	12
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_CCCH_MESSAGE	13
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_DCCH_MESSAGE	14
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_S1AP_36_413	15
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_X2AP_36_423	16
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_NGAP_38_413	17
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_XNAP_38_423	18
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_F1AP_38_473	19
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_E1AP_38_463	20
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_NGAP_38_413_SESSION_TRACKING_INFO_EXTENSION	21
CuCpF1GnbDuConfigurationUpdate	ProtocolName	PROTOCOL_NAME_NO_LICENSE	255
CuCpF1GnbDuConfigurationUpdateAcknowledge	MsgDirection	MSG_DIRECTION_NO_VALUE	0
CuCpF1GnbDuConfigurationUpdateAcknowledge	MsgDirection	MSG_DIRECTION_SEND	1
CuCpF1GnbDuConfigurationUpdateAcknowledge	MsgDirection	MSG_DIRECTION_RECEIVE	2
CuCpF1GnbDuConfigurationUpdateAcknowledge	MsgDirection	MSG_DIRECTION_NO_LICENSE	255
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_NO_VALUE	0
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_BCH_MESSAGE	1
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_DL_SCH_MESSAGE	2
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_CCCH_MESSAGE	3
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_DCCH_MESSAGE	4
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_PCCH_MESSAGE	5
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_CCCH_MESSAGE	6
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_DCCH_MESSAGE	7
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_BCH_MESSAGE	8
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_DL_SCH_MESSAGE	9
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_CCCH_MESSAGE	10
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_DCCH_MESSAGE	11
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_PCCH_MESSAGE	12
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_CCCH_MESSAGE	13
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_DCCH_MESSAGE	14
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_S1AP_36_413	15
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_X2AP_36_423	16
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_NGAP_38_413	17
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_XNAP_38_423	18
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_F1AP_38_473	19
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_E1AP_38_463	20
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_NGAP_38_413_SESSION_TRACKING_INFO_EXTENSION	21
CuCpF1GnbDuConfigurationUpdateAcknowledge	ProtocolName	PROTOCOL_NAME_NO_LICENSE	255
CuCpF1GnbDuConfigurationUpdateFailure	MsgDirection	MSG_DIRECTION_NO_VALUE	0
CuCpF1GnbDuConfigurationUpdateFailure	MsgDirection	MSG_DIRECTION_SEND	1
CuCpF1GnbDuConfigurationUpdateFailure	MsgDirection	MSG_DIRECTION_RECEIVE	2
CuCpF1GnbDuConfigurationUpdateFailure	MsgDirection	MSG_DIRECTION_NO_LICENSE	255
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_NO_VALUE	0
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_BCH_MESSAGE	1
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_BCCH_DL_SCH_MESSAGE	2
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_CCCH_MESSAGE	3
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_DL_DCCH_MESSAGE	4
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_PCCH_MESSAGE	5
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_CCCH_MESSAGE	6
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_36_331_UL_DCCH_MESSAGE	7
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_BCH_MESSAGE	8
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_BCCH_DL_SCH_MESSAGE	9
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_CCCH_MESSAGE	10
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_DL_DCCH_MESSAGE	11
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_PCCH_MESSAGE	12
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_CCCH_MESSAGE	13
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_RRC_38_331_UL_DCCH_MESSAGE	14
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_S1AP_36_413	15
CuCpF1GnbDuConfigurationUpdateFailure	ProtocolName	PROTOCOL_NAME_X2AP_36_423	16
