PmEvent Name	Event Id	Event Type	Event Description and Trigger	STANDARDIZED or PROPRIETARY	Event Groups	Message Trace Depth (UE Trace)	Interface Classification (UE Trace)	DeprecatedSince	ReasonForDeprecation	Periodicity (seconds)	SupportedBands	SupportedDeployments	License	LimitationReason	EventStatus
CuCpF1ResourceStatusUpdate	3300	CUCP	RESOURCE STATUS UPDATE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band	NR SA	N/A		USED
CuCpF1SetupFailure	3126	CUCP	SETUP FAILURE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
CuCpF1SetupRequest	3127	CUCP	SETUP REQUEST message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
CuCpF1SetupResponse	3128	CUCP	SETUP RESPONSE message. See 3GPP TS 38.473.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
CuCpF1TraceStart	3109	UE	TRACE START sent. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A		USED
CuCpF1UeContextModificationConfirm	3156	UE	UE CONTEXT MODIFICATION CONFIRM message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
CuCpF1UeContextModificationFailure	3137	UE	UE CONTEXT MODIFICATION FAILURE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
CuCpF1UeContextModificationRefuse	3157	UE	UE CONTEXT MODIFICATION REFUSE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
CuCpF1UeContextModificationRequest	3138	UE	UE CONTEXT MODIFICATION REQUEST message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
CuCpF1UeContextModificationRequired	3158	UE	UE CONTEXT MODIFICATION REQUIRED message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
CuCpF1UeContextModificationResponse	3139	UE	UE CONTEXT MODIFICATION RESPONSE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
CuCpF1UeContextReleaseCommand	3140	UE	UE CONTEXT RELEASE COMMAND message from gNodeB Central Unit. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
CuCpF1UeContextReleaseComplete	3141	UE	UE CONTEXT RELEASE COMPLETE message from gNodeB Distributed Unit. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
CuCpF1UeContextReleaseRequest	3142	UE	UE CONTEXT RELEASE REQUEST message from gNodeB Distributed Unit. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
CuCpF1UeContextSetupFailure	3123	UE	UE CONTEXT SETUP FAILURE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
CuCpF1UeContextSetupRequest	3124	UE	UE CONTEXT SETUP REQUEST message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
CuCpF1UeContextSetupResponse	3125	UE	UE CONTEXT SETUP RESPONSE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED
CuCpF1WriteReplaceWarningRequest	3290	CUCP	To observe the PWS F1 procedure, F1AP WRITE-REPLACE WARNING REQUEST in CUCP	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpF1WriteReplaceWarningResponse	3291	CUCP	To observe the PWS F1 procedure, F1AP WRITE-REPLACE WARNING RESPONSE in CU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgDeactivateTrace	3249	UE	DEACTIVATE TRACE message received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA	N/A		USED
CuCpNgAmfConfigurationUpdate	3163	CUCP	AMF CONFIGURATION UPDATE received. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpNgAmfConfigurationUpdateAcknowledge	3164	CUCP	AMF CONFIGURATION UPDATE ACKNOWLEDGE sent. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpNgAmfConfigurationUpdateFailure	3165	CUCP	AMF CONFIGURATION UPDATE FAILURE sent. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpNgDownlinkNasTransport	3025	UE	DOWNLINK NAS TRANSPORT received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgDownlinkRanConfigurationTransfer	3201	CUCP	DOWNLINK RAN CONFIGURATION TRANSFER message received. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgDownlinkRanStatusTransfer	3092	UE	DOWNLINK RAN STATUS TRANSFER received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgDownlinkUeAssociatedNrppaTransport	3215	UE	DOWNLINK UE ASSOCIATED NRPPA TRANSPORT message received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA	N/A		USED
CuCpNgErrorIndicationCommon	3026	CUCP	Common NGAP ERROR INDICATION sent or received. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgErrorIndicationDedicated	3027	UE	Dedicated ERROR INDICATION sent or received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgHandoverCancel	3094	UE	HANDOVER CANCEL sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgHandoverCancelAcknowledge	3093	UE	HANDOVER CANCEL ACKNOWLEDGE received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgHandoverCommand	3095	UE	HANDOVER COMMAND received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgHandoverFailure	3096	UE	HANDOVER FAILURE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgHandoverNotify	3097	UE	HANDOVER NOTIFY sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgHandoverPreparationFailure	3098	UE	HANDOVER PREPARATION FAILURE received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgHandoverRequest	3100	UE	HANDOVER REQUEST received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgHandoverRequestAcknowledge	3099	UE	HANDOVER REQUEST ACKNOWLEDGE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgHandoverRequired	3101	UE	HANDOVER REQUIRED sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgInitialContextSetupFailure	3028	UE	INITIAL CONTEXT SETUP FAILURE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgInitialContextSetupRequest	3029	UE	INITIAL CONTEXT SETUP REQUEST received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgInitialContextSetupResponse	3030	UE	INITIAL CONTEXT SETUP RESPONSE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgInitialUeMessage	3031	UE	INITIAL UE MESSAGE sent. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgLocationReport	3252	UE	LOCATION REPORT message sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA	N/A		USED
CuCpNgLocationReportingControl	3251	UE	LOCATION REPORTING CONTROL message received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA	N/A		USED
CuCpNgLocationReportingFailureIndication	3253	UE	LOCATION REPORTING FAILURE INDICATION message sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA	N/A		USED
CuCpNgNasNonDeliveryIndication	3023	UE	NAS NON DELIVERY INDICATION sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgPaging	3003	CUCP	PAGING received. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgPathSwitchRequest	3176	UE	NGAP PATH SWITCH REQUEST message sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgPathSwitchRequestAcknowledge	3177	UE	NGAP PATH SWITCH REQUEST ACKNOWLEDGE message received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgPathSwitchRequestFailure	3178	UE	NGAP PATH SWITCH REQUEST FAILURE message received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgPduSessionResourceModifyConfirm	3174	UE	NGAP PDU SESSION RESOURCE MODIFY CONFIRM message received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity	Not supported in High-Band SA	USED
CuCpNgPduSessionResourceModifyIndication	3175	UE	NGAP PDU SESSION RESOURCE MODIFY INDICATION message sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity	Not supported in High-Band SA	USED
CuCpNgPduSessionResourceModifyRequest	3078	UE	PDU SESSION RESOURCE MODIFY REQUEST received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgPduSessionResourceModifyResponse	3079	UE	PDU SESSION RESOURCE MODIFY RESPONSE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgPduSessionResourceNotify	3155	UE	PDU SESSION RESOURCE NOTIFY sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A	Status Preliminary	PRELIMINARY
CuCpNgPduSessionResourceReleaseCommand	3080	UE	PDU SESSION RESOURCE RELEASE COMMAND received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgPduSessionResourceReleaseResponse	3081	UE	PDU SESSION RESOURCE RELEASE RESPONSE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgPduSessionResourceSetupRequest	3014	UE	PDU SESSION RESOURCE SETUP REQUEST received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgPduSessionResourceSetupResponse	3015	UE	PDU SESSION RESOURCE SETUP RESPONSE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgPwsCancelRequest	3118	CUCP	PWS CANCEL REQUEST message.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgPwsCancelResponse	3119	CUCP	PWS CANCEL RESPONSE message. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgPwsFailureIndication	3147	CUCP	PWS FAILURE INDICATION message. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgPwsRestartIndication	3120	CUCP	PWS RESTART INDICATION message. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgRanConfigurationUpdate	3152	CUCP	RAN CONFIGURATION UPDATE sent. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpNgRanConfigurationUpdateAcknowledge	3153	CUCP	RAN CONFIGURATION UPDATE ACKNOWLEDGE received. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpNgRanConfigurationUpdateFailure	3154	CUCP	RAN CONFIGURATION UPDATE FAILURE received. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpNgRerouteNasRequest	3090	UE	REROUTE NAS REQUEST received. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	Status Preliminary	PRELIMINARY
CuCpNgReset	3032	CUCP	NG RESET received. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgResetAcknowledge	3033	CUCP	NG RESET ACKNOWLEDGE sent. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgSetupFailure	3168	CUCP	NG SETUP FAILURE received. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpNgSetupRequest	3166	CUCP	NG SETUP REQUEST sent. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpNgSetupResponse	3167	CUCP	NG SETUP RESPONSE received. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpNgTraceFailureIndication	3250	UE	TRACE FAILURE INDICATION message sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA	N/A	Not verified in High-Band	USED
CuCpNgTraceStart	3248	UE	TRACE START message received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpNgUeContextModificationFailure	3111	UE	UE CONTEXT MODIFICATION FAILURE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgUeContextModificationRequest	3112	UE	UE CONTEXT MODIFICATION REQUEST received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgUeContextModificationResponse	3113	UE	UE CONTEXT MODIFICATION RESPONSE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgUeContextReleaseCommand	3034	UE	UE CONTEXT RELEASE COMMAND received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgUeContextReleaseComplete	3035	UE	UE CONTEXT RELEASE COMPLETE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgUeContextReleaseRequest	3036	UE	UE CONTEXT RELEASE REQUEST sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgUeRadioCapabilityCheckRequest	3006	UE	UE RADIO CAPABILITY CHECK REQUEST received. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgUeRadioCapabilityCheckResponse	3007	UE	UE RADIO CAPABILITY CHECK RESPONSE sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgUeRadioCapabilityInfoIndication	3037	UE	UE RADIO CAPABILITY INFO INDICATION sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgUplinkNasTransport	3038	UE	UPLINK NAS TRANSPORT sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpNgUplinkRanConfigurationTransfer	3200	CUCP	UPLINK RAN CONFIGURATION TRANSFER message sent. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgUplinkRanStatusTransfer	3102	UE	UPLINK RAN STATUS TRANSFER sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgUplinkUeAssociatedNrppaTransport	3216	UE	UPLINK UE ASSOCIATED NRPPA TRANSPORT message sent. See 3GPP TS 38.413.	STANDARDIZED		0,2,3,5	NG				Low-band, Mid-band	NR SA	N/A		USED
CuCpNgWriteReplaceWarningRequest	3116	CUCP	WRITE-REPLACE WARNING REQUEST message. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpNgWriteReplaceWarningResponse	3117	CUCP	WRITE-REPLACE WARNING RESPONSE message. See 3GPP TS 38.413.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpPerUeMdtReport	3230	UE	M1 measurement received.	STANDARDIZED	MDT	0,2,3,5	UU			MdtCellProfileUeCfg::m1ReportInterval	Low-band, Mid-band, High-band	EN-DC, NR SA	LicenseKeyId: CXC4012564, LicenseMoId: NrMinimizationOfDriveTests, LicenseName: NR Minimization of Drive Tests		USED
CuCpPerUeUcmReport	3331	UE	This event represents UE coverage measurement reports received from UE for a single frequency.	STANDARDIZED						UcmNrFreqRelProfile::reportConfigPeriodical{reportAmount}	Low-band, Mid-band, High-band	NR SA	N/A		USED
CuCpRrcDlInformationTransfer	3041	UE	DLInformationTransfer sent. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcMeasurementReport	3005	UE	MeasurementReport received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpRrcMobilityFromNrCommand	3161	UE	MobilityFromNRCommand sent. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpRrcReconfiguration	3019	UE	RRCReconfiguration sent. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcReconfigurationComplete	3020	UE	RRCReconfigurationComplete received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcReestablishment	3226	UE	RRCReestablishment message sent. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpRrcReestablishmentComplete	3227	UE	RRCReestablishmentComplete message received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpRrcReestablishmentRequest	3228	UE	RRCReestablishmentRequest message received. See 3GPP TS 38.331.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpRrcReject	3043	UE	RRCReject sent. See 3GPP TS 38.331.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcRelease	3044	UE	RRCRelease sent. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcResume	3223	UE	RRCResume message sent. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band	NR SA, CR NR SA	LicenseKeyId: CXC4012550, LicenseMoId: RrcInactiveState, LicenseName: RRC Inactive State		USED
CuCpRrcResumeComplete	3222	UE	RRCResumeComplete message. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band	NR SA, CR NR SA	LicenseKeyId: CXC4012550, LicenseMoId: RrcInactiveState, LicenseName: RRC Inactive State		USED
CuCpRrcResumeRequest	3225	UE	RRCResumeRequest message. See 3GPP TS 38.331.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A		USED
CuCpRrcScgFailureInformation	3199	UE	RRC SCGFailureInformation message received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity		USED
CuCpRrcSecurityModeCommand	3016	UE	SecurityModeCommand sent. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcSecurityModeComplete	3017	UE	SecurityModeComplete received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcSecurityModeFailure	3018	UE	SecurityModeFailure received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcSetup	3045	UE	RRCSetup sent. See 3GPP TS 38.331.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcSetupComplete	3046	UE	RRCSetupComplete received. See 3GPP TS 38.331.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcSetupRequest	3047	UE	RRCSetupRequest received. See 3GPP TS 38.331.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcUeAssistanceInformation	3286	UE	RRC UEAssistanceInformation received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band	NR SA	N/A		USED
CuCpRrcUeCapabilityEnquiry	3039	UE	UECapabilityEnquiry sent. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcUeCapabilityInformation	3040	UE	UECapabilityInformation received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcUlDedicatedMessageSegment	3258	UE	ULDedicatedMessageSegment message received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band	NR SA	N/A	Status Preliminary	PRELIMINARY
CuCpRrcUlInformationTransfer	3042	UE	ULInformationTransfer received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
CuCpRrcUlInformationTransferMrdc	3263	UE	ULInformationTransferMRDC message received. See 3GPP TS 38.331.	STANDARDIZED		0,2,3,5	UU				Low-band, Mid-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity		USED
CuCpX2DeactivateTrace	3108	UE	DEACTIVATE TRACE received. See 3GPP TS 36.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	NR SA not supported.	USED
CuCpX2EndcConfigurationTransfer	3106	CUCP	EN-DC CONFIGURATION TRANSFER sent or received. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2EndcConfigurationUpdate	3057	CUCP	EN-DC CONFIGURATION UPDATE sent or received. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2EndcConfigurationUpdateAcknowledge	3058	CUCP	EN-DC CONFIGURATION UPDATE ACKNOWLEDGE sent. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2EndcConfigurationUpdateFailure	3059	CUCP	EN-DC CONFIGURATION UPDATE FAILURE sent. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band, High-band	EN-DC, CR EN-DC	N/A		USED
CuCpX2EndcResourceStatusFailure	3341	CUCP	Standardized PM event to observe X2 EN-DC Resource Status Failure message sent or received by gNodeB.	STANDARDIZED							Low-band, Mid-band	EN-DC	N/A		USED
CuCpX2EndcResourceStatusRequest	3339	CUCP	Standardized PM event to observe X2 EN-DC Resource Status Request message sent or received by gNodeB.	STANDARDIZED							Low-band, Mid-band	EN-DC	N/A		USED
CuCpX2EndcResourceStatusResponse	3340	CUCP	Standardized PM event to observe X2 EN-DC Resource Status Response message sent or received by gNodeB.	STANDARDIZED							Low-band, Mid-band	EN-DC	N/A		USED
