PmEvent Name	Event Id	Event Type	Event Description and Trigger	STANDARDIZED or PROPRIETARY	Event Groups	Message Trace Depth (UE Trace)	Interface Classification (UE Trace)	DeprecatedSince	ReasonForDeprecation	Periodicity (seconds)	SupportedBands	SupportedDeployments	License	LimitationReason	EventStatus
CuCpXnSNodeModificationRequestReject	3241	UE	XnAP S-NODE MODIFICATION REQUEST REJECT message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity		USED
CuCpXnSNodeModificationRequired	3242	UE	XnAP S-NODE MODIFICATION REQUIRED message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity		USED
CuCpXnSNodeReconfigurationComplete	3186	UE	XnAP S-NODE RECONFIGURATION COMPLETE message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity		USED
CuCpXnSNodeReleaseConfirm	3187	UE	XnAP S-NODE RELEASE CONFIRM message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity		USED
CuCpXnSNodeReleaseReject	3188	UE	XnAP S-NODE RELEASE REJECT message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity		USED
CuCpXnSNodeReleaseRequest	3189	UE	XnAP S-NODE RELEASE REQUEST message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity		USED
CuCpXnSNodeReleaseRequestAcknowledge	3190	UE	XnAP S-NODE RELEASE REQUEST ACKNOWLEDGE message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity		USED
CuCpXnSNodeReleaseRequired	3191	UE	XnAP S-NODE RELEASE REQUIRED message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity		USED
CuCpXnSetupFailure	3011	CUCP	XN SETUP FAILURE sent. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band	EN-DC, NR SA, CR NR SA	N/A		USED
CuCpXnSetupRequest	3012	CUCP	XN SETUP REQUEST sent. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band	EN-DC, NR SA, CR NR SA	N/A		USED
CuCpXnSetupResponse	3013	CUCP	XN SETUP RESPONSE sent. See 3GPP TS 36.423.	STANDARDIZED							Low-band, Mid-band	EN-DC, NR SA, CR NR SA	N/A		USED
CuCpXnSnStatusTransfer	3192	UE	XnAP SN STATUS TRANSFER message sent or received. See 3GPP TS 38.423.	STANDARDIZED		0,2,3,5	X2_XN				Low-band, Mid-band, High-band	NR SA, CR NR SA	N/A		USED
